,C. sp X1,C. sp X2,C. sp X3,C. sp X4,C. sp X5,C. sp X6,C. sp X7,C. sp X8,C. sp X9,descriptions
PF00528,0,125,134,0,283,0,5,49,94,Binding-protein-dependent transport system inner membrane component
PF00529,0,0,0,0,5,0,3,1,1,HlyD membrane-fusion protein of T1SS
PF00532,0,56,47,0,36,0,5,2,39,Periplasmic binding proteins and sugar binding domain of LacI family
PF00533,9,14,11,8,17,9,9,11,12,BRCA1 C Terminus (BRCT) domain
PF00534,3,53,93,3,169,3,18,53,71,Glycosyl transferases group 1
PF00535,8,68,90,10,151,8,16,52,66,Glycosyl transferase family 2
PF00536,5,5,5,5,6,6,5,5,5,SAM domain (Sterile alpha motif)
PF00538,1,1,1,1,1,1,1,1,1,linker histone H1 and H5 family
PF00542,1,5,5,1,9,1,2,5,4,Ribosomal protein L7/L12 C-terminal domain
PF00543,0,5,4,0,12,0,1,6,2,Nitrogen regulatory protein P-II
PF00544,0,0,0,0,2,0,0,0,0,Pectate lyase
PF00545,0,2,0,0,0,0,0,0,0,ribonuclease
PF00547,1,1,3,1,4,1,1,1,4,"Urease, gamma subunit"
PF00549,3,7,10,3,12,3,5,9,6,CoA-ligase
PF00550,39,44,47,40,61,26,30,37,50,Phosphopantetheine attachment site
PF00551,2,11,14,1,16,1,3,8,11,Formyl transferase
PF00556,0,0,1,0,5,0,0,0,0,Antenna complex alpha/beta subunit
PF00557,6,26,21,7,26,8,9,13,18,Metallopeptidase family M24
PF00560,2,2,2,1,1,1,1,1,1,Leucine Rich Repeat
PF00561,15,53,71,11,126,11,32,44,41,alpha/beta hydrolase fold
PF00562,3,7,7,3,10,3,3,7,5,"RNA polymerase Rpb2, domain 6"
PF00563,0,16,49,0,97,0,7,35,38,EAL domain
PF00564,2,2,2,2,2,2,2,2,2,PB1 domain
PF00565,2,4,5,3,13,2,2,4,2,Staphylococcal nuclease homologue
PF00566,12,12,12,12,12,12,12,12,12,Rab-GTPase-TBC domain
PF00567,1,1,1,1,1,1,1,1,1,Tudor domain
PF00568,1,1,1,1,1,1,1,1,1,WH1 domain
PF00569,2,4,5,4,4,3,3,5,4,"Zinc finger, ZZ type"
PF00570,1,6,5,1,10,1,2,6,5,HRDC domain
PF00571,7,33,37,7,67,8,11,25,21,CBS domain
PF00572,2,5,5,2,9,2,3,5,5,Ribosomal protein L13
PF00573,2,6,7,2,7,2,3,5,4,Ribosomal protein L4/L1 family
PF00574,1,10,9,1,14,1,2,3,9,Clp protease
PF00575,4,14,21,3,30,3,7,16,12,S1 RNA binding domain
PF00576,1,1,4,1,6,1,1,2,3,HIUase/Transthyretin family
PF00578,4,22,30,3,52,4,9,19,21,AhpC/TSA family
PF00579,4,13,12,4,16,4,6,10,9,tRNA synthetases class I (W and Y)
PF00580,1,11,9,2,19,2,5,5,6,UvrD/REP helicase N-terminal domain
PF00581,5,15,19,5,31,5,6,8,13,Rhodanese-like domain
PF00582,2,16,20,2,16,2,3,5,13,Universal stress protein family
PF00583,25,87,111,21,128,22,34,53,81,Acetyltransferase (GNAT) family
PF00584,0,4,4,0,3,0,1,3,1,SecE/Sec61-gamma subunits of protein translocation complex
PF00585,1,2,1,1,1,1,1,1,2,C-terminal regulatory domain of Threonine dehydratase
PF00586,1,15,14,1,22,1,5,8,9,"AIR synthase related protein, N-terminal domain"
PF00587,6,19,26,6,34,6,10,18,17,"tRNA synthetase class II core domain (G, H, P, S and T)"
PF00588,1,17,15,1,21,1,6,16,10,SpoU rRNA Methylase family
PF00589,0,23,36,0,83,0,13,13,18,Phage integrase family
PF00590,2,11,16,2,23,2,4,8,8,Tetrapyrrole (Corrin/Porphyrin) Methylases
PF00591,1,8,10,1,14,1,2,6,4,"Glycosyl transferase family, a/b domain"
PF00593,0,0,41,0,96,0,53,81,0,TonB dependent receptor
PF00595,2,12,15,2,38,2,4,12,13,PDZ domain
PF00596,3,8,13,3,23,3,4,13,10,Class II Aldolase and Adducin N-terminal domain
PF00610,4,3,4,4,4,4,4,4,5,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
PF00611,5,5,5,5,5,5,5,5,5,"Fes/CIP4, and EFC/F-BAR homology domain"
PF00612,2,3,2,2,3,2,2,2,4,IQ calmodulin-binding motif
PF00613,2,2,2,2,2,2,2,2,2,"Phosphoinositide 3-kinase family, accessory domain (PIK domain)"
PF00614,3,5,8,3,12,3,3,7,6,Phospholipase D Active site motif
PF00615,6,7,6,7,6,7,7,8,8,Regulator of G protein signaling domain
PF00616,3,3,3,3,3,3,2,3,3,GTPase-activator protein for Ras-like GTPase
PF00617,4,4,4,4,4,4,4,4,4,RasGEF domain
PF00618,4,4,4,4,4,4,4,4,4,RasGEF N-terminal motif
PF00620,8,8,7,8,8,8,8,8,8,RhoGAP domain
PF00621,6,5,6,6,6,6,6,6,7,RhoGEF domain
PF00622,3,3,5,4,3,4,3,4,4,SPRY domain
PF00623,3,3,3,3,3,3,3,3,3,"RNA polymerase Rpb1, domain 2"
PF00625,0,5,6,1,7,1,2,3,4,Guanylate kinase
PF00626,3,3,3,3,3,3,3,3,3,Gelsolin repeat
PF00627,4,4,4,4,4,4,4,3,4,UBA/TS-N domain
PF00628,12,11,11,11,12,12,11,11,11,PHD-finger
PF00631,1,1,0,0,1,1,1,1,1,GGL domain
PF00632,5,6,6,6,6,6,6,6,7,HECT-domain (ubiquitin-transferase)
PF00633,1,11,9,1,12,1,2,3,5,Helix-hairpin-helix motif
PF00635,1,1,1,1,0,1,1,1,1,MSP (Major sperm protein) domain
PF00636,5,10,12,5,14,7,6,7,10,Ribonuclease III domain
PF00637,4,4,4,4,4,4,4,4,4,Region in Clathrin and VPS
PF00638,3,3,3,3,3,3,3,3,3,RanBP1 domain
PF00639,2,4,7,2,15,2,3,8,3,PPIC-type PPIASE domain
PF00641,2,2,2,2,2,2,2,2,2,Zn-finger in Ran binding protein and others
PF00642,9,7,6,7,7,6,7,8,8,Zinc finger C-x8-C-x5-C-x3-H type (and similar)
PF00644,2,2,2,2,2,2,2,2,2,Poly(ADP-ribose) polymerase catalytic domain
PF00645,1,1,1,0,1,1,1,1,1,Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region
PF00646,29,26,23,21,27,28,25,24,26,F-box domain
PF00647,1,1,1,1,1,1,1,1,1,"Elongation factor 1 gamma, conserved domain"
PF00648,1,1,1,2,2,1,1,1,1,Calpain family cysteine protease
PF00649,1,1,1,1,1,1,0,1,1,Copper fist DNA binding domain
PF00650,4,4,4,4,4,4,4,4,4,CRAL/TRIO domain
PF00651,29,27,28,20,21,26,25,27,23,BTB/POZ domain
PF00653,1,1,1,2,1,1,2,1,1,Inhibitor of Apoptosis domain
PF00654,4,4,4,4,7,4,4,4,7,Voltage gated chloride channel
PF00656,1,4,1,1,6,1,2,2,3,Caspase domain
PF00657,8,19,18,6,29,10,10,12,17,GDSL-like Lipase/Acylhydrolase
PF00658,2,2,2,2,2,2,2,2,2,"Poly-adenylate binding protein, unique domain"
PF00662,0,5,3,0,7,0,2,3,1,"NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus"
PF00664,16,38,50,16,79,14,18,33,51,ABC transporter transmembrane region
PF00665,0,8,16,0,40,0,2,10,3,Integrase core domain
PF00667,4,4,5,5,8,4,5,4,5,FAD binding domain
PF00668,6,6,7,7,8,3,4,6,10,Condensation domain
PF00669,0,2,4,0,12,0,2,2,4,Bacterial flagellin N-terminal helical region
PF00670,1,6,7,1,7,1,2,4,4,"S-adenosyl-L-homocysteine hydrolase, NAD binding domain"
PF00672,1,25,37,1,66,1,5,27,35,HAMP domain
PF00673,2,6,7,2,9,2,3,5,4,ribosomal L5P family C-terminus
PF00675,5,14,17,6,25,6,9,17,12,Insulinase (Peptidase family M16)
PF00676,3,13,20,3,24,3,7,14,10,Dehydrogenase E1 component
PF00677,1,4,6,1,4,1,2,5,1,Lumazine binding domain
PF00679,6,20,21,6,29,6,9,15,16,Elongation factor G C-terminus
PF00682,3,14,12,3,21,4,9,11,11,HMGL-like
PF00684,4,11,10,4,10,4,5,7,7,DnaJ central domain
PF00685,0,2,10,0,4,0,2,0,0,Sulfotransferase domain
PF00686,1,1,1,1,1,1,1,1,1,Starch binding domain
PF00687,3,7,8,3,10,3,4,6,6,Ribosomal protein L1p/L10e family
PF00689,6,7,8,6,11,6,6,6,7,"Cation transporting ATPase, C-terminus"
PF00690,7,8,9,8,14,7,8,7,9,"Cation transporter/ATPase, N-terminus"
PF00691,0,1,15,0,60,0,7,15,2,OmpA family
PF00692,0,4,4,0,10,0,1,3,3,dUTPase
PF00694,4,11,12,4,17,4,6,8,8,Aconitase C-terminal domain
PF00696,3,18,20,3,31,3,8,16,16,Amino acid kinase family
PF00697,1,3,5,1,7,1,2,6,2,N-(5'phosphoribosyl)anthranilate (PRA) isomerase
PF00698,27,28,30,29,31,13,19,24,26,Acyl transferase domain
PF00699,1,1,4,1,5,1,1,1,5,Urease beta subunit
PF00700,0,2,4,0,12,0,2,5,2,Bacterial flagellin C-terminal helical region
PF00701,2,8,18,2,29,2,3,8,4,Dihydrodipicolinate synthetase family
PF00702,20,52,54,20,84,22,27,33,51,haloacid dehalogenase-like hydrolase
PF00703,1,6,6,1,7,1,2,3,2,Glycosyl hydrolases family 2
PF00704,13,9,11,10,10,8,8,14,9,Glycosyl hydrolases family 18
PF00705,1,1,1,1,1,1,1,1,1,"Proliferating cell nuclear antigen, N-terminal domain"
PF00707,1,6,3,1,7,1,2,3,4,"Translation initiation factor IF-3, C-terminal domain"
PF00708,1,2,1,1,2,1,1,1,1,Acylphosphatase
PF00709,1,5,5,1,8,1,3,4,4,Adenylosuccinate synthetase
PF00710,1,1,5,1,5,1,1,2,2,"Asparaginase, N-terminal"
PF00712,0,4,4,0,7,0,1,3,2,"DNA polymerase III beta subunit, N-terminal domain"
PF00717,3,10,20,3,29,3,10,15,6,Peptidase S24-like
PF00719,1,3,6,1,11,1,2,4,4,Inorganic pyrophosphatase
PF00722,11,9,13,10,34,12,15,16,14,Glycosyl hydrolases family 16
PF00723,1,13,11,1,12,1,2,4,9,Glycosyl hydrolases family 15
PF00724,3,9,12,2,26,3,6,10,8,NADH:flavin oxidoreductase / NADH oxidase family
PF00725,1,11,16,1,29,1,3,7,6,"3-hydroxyacyl-CoA dehydrogenase, C-terminal domain"
PF00728,2,6,2,2,5,1,4,4,3,"Glycosyl hydrolase family 20, catalytic domain"
PF00730,3,13,21,3,34,4,6,13,8,HhH-GPD superfamily base excision DNA repair protein
PF00731,1,5,8,1,7,1,2,5,7,AIR carboxylase
PF00732,21,26,29,10,39,13,19,14,22,GMC oxidoreductase
PF00733,3,4,11,2,14,3,3,9,5,Asparagine synthase
PF00735,5,5,5,5,5,5,5,5,5,Septin
PF00736,1,1,1,1,1,1,1,1,1,EF-1 guanine nucleotide exchange domain
PF00742,1,5,5,1,9,1,3,4,4,Homoserine dehydrogenase
PF00743,1,1,3,1,5,1,2,1,1,Flavin-binding monooxygenase-like
PF00745,0,3,3,0,0,0,0,0,3,"Glutamyl-tRNAGlu reductase, dimerisation domain"
PF00749,3,8,12,3,20,3,6,10,6,"tRNA synthetases class I (E and Q), catalytic domain"
PF00750,1,4,3,1,1,1,1,2,3,tRNA synthetases class I (R)
PF00752,4,4,4,4,4,4,4,4,4,XPG N-terminal domain
PF00753,5,43,68,5,98,5,16,39,22,Metallo-beta-lactamase superfamily
PF00754,3,10,5,3,4,4,3,4,7,F5/8 type C domain
PF00755,2,2,2,2,2,2,2,2,2,Choline/Carnitine o-acyltransferase
PF00756,1,3,12,1,21,1,2,4,4,Putative esterase
PF00759,0,0,1,0,2,0,0,1,0,Glycosyl hydrolase family 9
PF00762,1,3,3,1,9,1,2,4,4,Ferrochelatase
PF00763,1,4,7,1,9,1,3,5,5,"Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain"
PF00764,1,5,5,0,7,1,2,2,4,Arginosuccinate synthase
PF00765,0,0,1,0,7,0,0,0,0,Autoinducer synthase
PF00766,1,5,4,1,7,1,2,5,1,Electron transfer flavoprotein FAD-binding domain
PF00768,0,3,7,0,12,0,2,4,0,D-alanyl-D-alanine carboxypeptidase
PF00771,0,1,3,0,8,0,2,3,2,FHIPEP family
PF00772,0,6,5,0,7,0,1,3,2,DnaB-like helicase N terminal domain
PF00773,3,8,9,3,12,3,4,7,5,RNB domain
PF00775,1,1,8,1,20,1,1,3,1,Dioxygenase
PF00780,3,2,3,3,3,3,3,3,3,CNH domain
PF00781,2,8,18,2,18,2,3,6,9,Diacylglycerol kinase catalytic domain
PF00782,5,5,5,5,7,4,5,5,6,"Dual specificity phosphatase, catalytic domain"
PF00786,2,2,2,2,2,2,2,2,2,P21-Rho-binding domain
PF00787,12,11,11,12,12,12,12,12,11,PX domain
PF00788,3,3,3,3,3,3,3,3,3,Ras association (RalGDS/AF-6) domain
PF00789,6,6,6,6,6,5,6,6,6,UBX domain
PF00790,4,4,4,4,4,4,4,4,4,VHS domain
PF00792,1,1,1,1,1,1,1,1,1,Phosphoinositide 3-kinase C2
PF00793,3,6,6,2,11,2,3,4,5,DAHP synthetase I family
PF00795,6,16,28,5,35,5,12,22,22,Carbon-nitrogen hydrolase
PF00797,1,1,1,1,3,1,2,1,2,N-acetyltransferase
PF00800,1,4,5,1,7,1,3,4,3,Prephenate dehydratase
PF00801,0,10,7,0,0,0,0,0,3,PKD domain
PF00804,1,1,1,1,1,1,1,1,1,Syntaxin
PF00805,0,5,3,0,12,0,0,0,16,Pentapeptide repeats (8 copies)
PF00806,4,4,4,4,4,4,4,4,5,Pumilio-family RNA binding repeat
PF00808,10,10,10,8,9,6,7,6,12,Histone-like transcription factor (CBF/NF-Y) and archaeal histone
PF00809,1,10,9,1,13,1,3,7,5,Pterin binding enzyme
PF00810,2,2,2,2,2,2,2,2,1,ER lumen protein retaining receptor
PF00813,0,1,3,0,10,0,2,2,2,FliP family
PF00814,2,4,5,2,7,2,3,3,3,Glycoprotease family
PF00815,1,7,10,1,13,1,3,5,8,Histidinol dehydrogenase
PF00816,0,0,0,0,4,0,0,0,0,H-NS histone family
PF00817,4,12,12,4,24,4,7,11,7,impB/mucB/samB family
PF00821,0,2,1,0,0,0,0,0,2,Phosphoenolpyruvate carboxykinase C-terminal P-loop domain
PF00825,0,1,4,0,5,0,1,3,2,Ribonuclease P
PF00827,1,1,1,1,1,1,1,1,1,Ribosomal L15
PF00828,3,7,8,3,10,3,4,7,5,"Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A"
PF00829,1,4,6,1,7,1,1,4,4,Ribosomal prokaryotic L21 protein
PF00830,1,3,4,1,8,1,2,3,2,Ribosomal L28 family
PF00831,1,4,4,1,5,0,2,4,2,Ribosomal L29 protein
PF00833,1,1,1,1,1,1,1,1,1,Ribosomal S17
PF00834,1,5,6,1,12,1,2,4,5,Ribulose-phosphate 3 epimerase family
PF00838,1,2,1,1,1,1,1,1,1,Translationally controlled tumour protein
PF00842,0,5,5,0,7,0,1,3,2,"Alanine racemase, C-terminal domain"
PF00848,0,0,6,0,10,0,0,3,2,Ring hydroxylating alpha subunit (catalytic domain)
PF00849,1,11,13,1,24,1,4,11,7,RNA pseudouridylate synthase
PF00850,4,9,16,4,21,4,5,10,9,Histone deacetylase domain
PF00854,1,1,2,1,2,1,1,4,1,POT family
PF00855,1,1,1,1,1,1,1,1,1,PWWP domain
PF00856,10,10,9,8,9,8,10,9,8,SET domain
PF00857,5,16,25,4,39,6,5,8,16,Isochorismatase family
PF00860,1,4,4,1,10,1,1,3,4,Permease family
PF00861,0,4,4,0,7,0,0,3,3,"Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast"
PF00862,0,0,0,0,2,0,0,0,1,Sucrose synthase
PF00866,0,0,0,0,3,0,0,0,0,Ring hydroxylating beta subunit
PF00867,4,4,4,4,4,4,4,4,4,XPG I-region
PF00871,1,3,3,1,9,1,1,1,3,Acetokinase family
PF00873,0,2,14,0,54,0,5,20,7,AcrB/AcrD/AcrF family
PF00875,4,7,8,4,12,4,4,6,8,DNA photolyase
PF00877,0,3,10,0,1,0,0,0,11,NlpC/P60 family
PF00881,1,5,7,1,12,1,3,5,2,Nitroreductase family
PF00883,0,4,6,0,13,0,2,6,5,"Cytosol aminopeptidase family, catalytic domain"
PF00884,1,5,15,1,10,1,3,2,2,Sulfatase
PF00885,1,4,5,1,6,1,2,4,1,"6,7-dimethyl-8-ribityllumazine synthase"
PF00886,1,4,5,1,8,1,2,4,4,Ribosomal protein S16
PF00887,2,2,2,2,2,2,2,2,2,Acyl CoA binding protein
PF00888,3,3,3,3,3,3,3,3,3,Cullin family
PF00889,0,3,4,0,7,0,1,4,3,Elongation factor TS
PF00890,5,19,17,6,20,4,8,13,8,FAD binding domain
PF00891,21,20,22,15,20,12,14,19,22,O-methyltransferase domain
PF00892,2,28,51,2,87,2,6,23,18,EamA-like transporter family
PF00893,0,1,6,0,7,0,3,5,0,Small Multidrug Resistance protein
PF00899,8,11,13,8,17,8,9,9,12,ThiF family
PF00900,1,1,1,1,1,1,1,1,1,Ribosomal family S4e
PF00902,0,4,4,0,5,0,1,4,2,Sec-independent protein translocase protein (TatC)
PF00903,1,57,68,1,59,1,14,30,26,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF00905,0,23,22,0,29,0,5,14,17,Penicillin binding protein transpeptidase domain
PF00908,0,5,8,0,7,0,1,3,4,"dTDP-4-dehydrorhamnose 3,5-epimerase"
PF00909,2,7,5,2,9,2,2,5,5,Ammonium Transporter Family
PF00910,0,1,0,0,0,0,0,0,0,RNA helicase
PF00912,0,8,13,0,23,0,4,11,8,Transglycosylase
PF00916,3,4,5,3,9,3,4,5,3,Sulfate permease family
PF00917,0,1,0,1,1,1,1,0,1,MATH domain
PF00919,0,5,7,0,16,0,2,5,6,Uncharacterized protein family UPF0004
PF00920,2,7,16,2,29,2,5,11,6,Dehydratase family
PF00923,1,8,8,3,14,3,3,8,8,Transaldolase/Fructose-6-phosphate aldolase
PF00924,2,5,10,2,18,2,3,6,9,Mechanosensitive ion channel
PF00925,2,5,10,2,18,2,4,8,2,GTP cyclohydrolase II
PF00926,1,4,6,1,6,1,2,4,2,"3,4-dihydroxy-2-butanone 4-phosphate synthase"
PF00928,4,4,3,4,4,4,4,4,4,Adaptor complexes medium subunit family
PF00929,3,13,11,4,11,2,5,8,7,Exonuclease
PF00930,1,1,2,1,1,1,2,3,1,Dipeptidyl peptidase IV (DPP IV) N-terminal region
PF00931,8,12,8,11,10,7,10,11,10,NB-ARC domain
PF00932,0,8,2,0,0,0,0,0,0,Lamin Tail Domain
PF00933,4,8,15,4,18,4,8,12,9,Glycosyl hydrolase family 3 N terminal domain
PF00935,1,1,1,1,1,1,1,1,1,Ribosomal protein L44
PF00939,1,1,5,1,4,1,1,3,3,Sodium:sulfate symporter transmembrane region
PF00940,1,1,1,1,1,1,1,1,1,DNA-dependent RNA polymerase
PF00941,1,6,23,1,59,1,10,15,7,FAD binding domain in molybdopterin dehydrogenase
PF00950,0,8,6,0,10,0,0,1,5,ABC 3 transport family
PF00953,1,12,8,1,10,1,2,5,7,Glycosyl transferase family 4
PF00956,2,2,2,2,2,2,2,2,2,Nucleosome assembly protein (NAP)
PF00957,4,3,2,3,4,3,4,3,5,Synaptobrevin
PF00958,1,5,6,1,7,1,2,2,4,GMP synthase C terminal domain
PF00959,1,1,1,1,1,1,1,1,2,Phage lysozyme
PF00962,2,6,4,3,4,2,3,4,7,Adenosine/AMP deaminase
PF00970,3,9,14,3,20,3,3,5,5,Oxidoreductase FAD-binding domain
PF00975,5,4,5,6,4,2,4,4,14,Thioesterase domain
PF00977,2,9,9,2,8,2,3,5,8,Histidine biosynthesis protein
PF00982,0,5,4,0,8,0,1,2,2,Glycosyltransferase family 20
PF00984,1,7,14,1,13,1,2,8,9,"UDP-glucose/GDP-mannose dehydrogenase family, central domain"
PF00986,0,6,8,0,13,0,2,7,5,"DNA gyrase B subunit, carboxyl terminus"
PF00988,2,6,7,2,10,2,3,5,6,"Carbamoyl-phosphate synthase small chain, CPSase domain"
PF00989,5,24,57,4,150,4,14,34,48,PAS fold
PF00990,0,36,68,0,112,0,8,25,56,"Diguanylate cyclase, GGDEF domain"
PF00994,2,12,18,2,30,2,7,10,8,Probable molybdopterin binding domain
PF00995,4,4,4,4,3,4,4,4,3,Sec1 family
PF00996,2,2,1,2,2,2,2,1,2,GDP dissociation inhibitor
PF00999,4,16,25,5,44,5,8,17,17,Sodium/hydrogen exchanger family
PF01000,2,6,7,2,9,2,3,5,5,RNA polymerase Rpb3/RpoA insert domain
PF01008,4,4,5,4,10,4,4,3,5,Initiation factor 2 subunit family
PF01010,0,0,1,0,0,0,0,0,1,"NADH-dehyrogenase subunit F, TMs, (complex I) C-terminus"
PF01011,1,3,4,1,15,0,1,4,1,PQQ enzyme repeat
PF01012,2,7,5,2,8,2,3,6,2,Electron transfer flavoprotein domain
PF01014,1,2,3,1,5,1,1,2,2,Uricase
PF01015,1,1,1,1,1,1,1,1,1,Ribosomal S3Ae family
PF01016,1,3,6,1,9,1,1,4,4,Ribosomal L27 protein
PF01018,1,5,5,1,8,1,2,4,4,GTP1/OBG
PF01019,3,9,12,3,30,3,4,11,8,Gamma-glutamyltranspeptidase
PF01022,0,35,18,0,22,0,1,7,4,"Bacterial regulatory protein, arsR family"
PF01025,1,5,6,1,8,1,2,3,4,GrpE
PF01026,2,6,8,2,16,2,3,6,6,TatD related DNase
PF01027,2,4,4,2,11,2,3,5,4,Inhibitor of apoptosis-promoting Bax1
PF01028,1,5,6,1,7,1,2,5,3,"Eukaryotic DNA topoisomerase I, catalytic core"
PF01029,0,7,9,0,12,0,3,6,5,NusB family
PF01031,8,3,3,4,3,3,5,4,4,Dynamin central region
PF01032,0,9,6,0,9,0,2,1,5,FecCD transport family
PF01035,1,9,10,1,9,1,1,5,5,"6-O-methylguanine DNA methyltransferase, DNA binding domain"
PF01036,2,2,4,2,5,2,5,4,4,Bacteriorhodopsin-like protein
PF01037,0,13,15,0,23,0,4,3,8,Lrp/AsnC ligand binding domain
PF01039,2,12,12,1,9,2,2,7,7,Carboxyl transferase domain
PF01040,4,15,18,7,23,4,8,15,13,UbiA prenyltransferase family
PF01041,0,6,6,0,21,0,1,7,4,DegT/DnrJ/EryC1/StrS aminotransferase family
PF01042,4,14,26,4,42,4,15,29,11,Endoribonuclease L-PSP
PF01043,0,4,4,0,6,0,1,3,3,SecA preprotein cross-linking domain
PF01047,0,35,32,0,31,0,4,6,19,MarR family
PF01048,4,11,14,5,21,3,4,9,10,Phosphorylase superfamily
PF01050,0,0,2,0,4,0,0,2,0,Mannose-6-phosphate isomerase
PF01051,0,0,11,1,17,0,10,3,0,Initiator Replication protein
PF01052,0,2,7,0,17,0,2,9,2,Type III flagellar switch regulator (C-ring) FliN C-term
PF01053,6,10,25,7,29,4,8,17,14,Cys/Met metabolism PLP-dependent enzyme
PF01055,1,1,3,1,5,1,1,1,4,Glycosyl hydrolases family 31 
PF01058,1,4,6,1,10,1,2,4,2,"NADH ubiquinone oxidoreductase, 20 Kd subunit"
PF01059,0,0,0,0,1,0,0,1,0,"NADH-ubiquinone oxidoreductase chain 4, amino terminus"
PF01061,10,35,40,9,37,10,11,15,19,ABC-2 type transporter
PF01062,2,2,2,2,3,2,3,2,2,"Bestrophin, RFP-TM, chloride channel"
PF01063,4,14,9,2,19,3,6,8,7,Amino-transferase class IV
PF01066,6,21,22,6,28,6,10,19,13,CDP-alcohol phosphatidyltransferase
PF01067,0,0,0,0,1,0,0,0,0,"Calpain large subunit, domain III"
PF01068,4,16,8,4,10,4,4,6,6,ATP dependent DNA ligase domain
PF01070,3,5,8,4,13,4,5,7,8,FMN-dependent dehydrogenase
PF01071,1,5,6,1,11,1,2,4,4,"Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain"
PF01073,12,37,52,10,66,11,16,28,30,3-beta hydroxysteroid dehydrogenase/isomerase family
PF01074,1,3,4,1,2,1,1,1,5,Glycosyl hydrolases family 38 N-terminal domain
PF01075,0,6,6,0,6,0,0,2,6,Glycosyltransferase family 9 (heptosyltransferase)
PF01076,0,0,0,0,2,0,1,0,0,Plasmid recombination enzyme
PF01077,2,8,7,2,14,2,3,5,5,Nitrite and sulphite reductase 4Fe-4S domain
PF01078,0,3,6,0,7,0,2,3,2,"Magnesium chelatase, subunit ChlI"
PF01081,0,3,8,0,13,0,2,6,2,KDPG and KHG aldolase
PF01083,1,1,0,0,1,1,0,2,0,Cutinase
PF01084,1,5,3,1,4,1,2,3,4,Ribosomal protein S18
PF01086,1,1,1,1,1,1,1,1,1,Clathrin light chain
PF01087,1,3,4,1,2,1,1,1,3,"Galactose-1-phosphate uridyl transferase, N-terminal domain"
PF01088,4,4,4,3,3,3,3,5,5,"Ubiquitin carboxyl-terminal hydrolase, family 1"
PF01090,1,1,1,1,1,1,1,1,1,Ribosomal protein S19e
PF01092,1,1,1,1,1,1,1,1,1,Ribosomal protein S6e
PF01094,0,5,14,0,51,0,0,6,6,Receptor family ligand binding region
PF01096,3,2,2,1,2,2,3,2,2,Transcription factor S-II (TFIIS)
PF01097,0,1,1,1,0,0,0,1,1,Arthropod defensin
PF01098,0,11,9,0,10,0,3,7,5,Cell cycle protein
PF01102,0,0,0,0,0,1,0,0,0,Glycophorin A
PF01103,1,1,5,1,15,1,3,7,3,Surface antigen
PF01105,4,4,4,4,4,4,4,4,4,emp24/gp25L/p24 family/GOLD
PF01106,1,1,2,1,8,1,2,4,1,NifU-like domain
PF01111,1,1,1,1,1,1,1,1,1,Cyclin-dependent kinase regulatory subunit
PF01112,1,3,2,1,6,2,3,3,4,Asparaginase
PF01113,0,4,4,0,7,0,1,1,3,"Dihydrodipicolinate reductase, N-terminus"
PF01115,1,1,1,1,1,1,1,1,1,"F-actin capping protein, beta subunit"
PF01116,2,5,7,2,7,2,2,3,8,Fructose-bisphosphate aldolase class-II
PF01118,4,13,14,4,15,3,7,9,8,"Semialdehyde dehydrogenase, NAD binding domain"
PF01119,3,3,7,3,8,3,4,6,4,"DNA mismatch repair protein, C-terminal domain"
PF01120,0,0,0,0,1,0,0,0,0,Alpha-L-fucosidase
PF01121,0,4,4,0,7,0,1,3,2,Dephospho-CoA kinase
PF01124,3,2,3,3,9,2,3,3,3,MAPEG family
PF01125,1,1,1,1,1,1,1,1,1,G10 protein
PF01126,1,1,1,1,4,1,1,1,2,Heme oxygenase
PF01127,1,2,4,1,4,1,1,5,2,Succinate dehydrogenase/Fumarate reductase transmembrane subunit
PF01128,0,9,10,0,14,0,2,8,3,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PF01131,1,5,8,1,15,1,2,3,5,DNA topoisomerase
PF01132,0,3,4,0,8,0,1,2,3,Elongation factor P (EF-P) OB domain
PF01134,1,1,4,1,9,1,3,6,3,Glucose inhibited division protein A
PF01135,2,11,8,1,19,5,3,7,3,Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
PF01137,2,2,2,2,4,2,2,2,3,RNA 3'-terminal phosphate cyclase
PF01138,6,14,14,6,18,6,7,12,11,"3' exoribonuclease family, domain 1"
PF01139,0,2,1,0,5,0,0,0,2,tRNA-splicing ligase RtcB
PF01142,1,1,1,1,1,1,1,1,1,tRNA pseudouridine synthase D (TruD)
PF01144,0,2,9,0,22,0,2,8,3,Coenzyme A transferase
PF01145,5,14,17,5,21,6,6,11,9,SPFH domain / Band 7 family
PF01148,1,5,4,1,8,1,2,4,3,Cytidylyltransferase family
PF01149,1,13,9,1,8,1,2,4,6,Formamidopyrimidine-DNA glycosylase N-terminal domain
PF01150,2,2,2,2,2,2,2,2,2,GDA1/CD39 (nucleoside phosphatase) family
